  ; Magasin 7512 CUSSET ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; édité le 18/03/2024 13:48 ;  
 Niveau d'extraction : Rayon, Groupe de famille, Famille, Sous-famille, Unité de Gestion, EAN ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Fréquence d'extraction :  ;  ;  ;  ;  ;  ; Fin de planification :  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Note : les champs avec * sont liées à la période de vente sélectionnée ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ;  ;  ;  ;  ;  ;  ;  ; 868 ; 887 ;  ;  ;  ;  ;  ;  ;  ;  ; 6646,000 ;  ; 18048,92 ; 24319,23 ; 2217,105 ; 0,1340828 ; 16297,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ;  ;  ;  ;  ;  ; 559 ; 571 ;  ;  ;  ;  ;  ;  ;  ;  ; 5052,000 ;  ; 9597,79 ; 13852,57 ; 1946,018 ; 0,1279153 ; 10963,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ;  ;  ;  ; 13 ; 13 ;  ;  ;  ;  ;  ;  ;  ;  ; 74,000 ;  ; 82,74 ; 132,9 ; 28,01 ; 0,2043841 ; 187,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ;  ; 11 ; 11 ;  ;  ;  ;  ;  ;  ;  ;  ; 69,000 ;  ; 80,57 ; 128,55 ; 26,555 ; 0,2010065 ; 150,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000003069878 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 2,000 ;  ; 3,98 ; 7,78 ; 2,503333 ; 0,2681377 ; 9,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000003069878 ; 3383482300156 ; NETTOY VITRE ECO ; BRIOCHIN NETTOY VITRE ECO ; BRIOCHIN ; HARRIS ; 1,99 ; 3,89 ; 3,24 ; 0,2 ; 2,000 ; UVC ; 3,98 ; 7,78 ; 2,503333 ; 0,2681377 ; 9,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001528628 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 4,000 ;  ; 4,68 ; 10,2 ; 3,82 ; 0,3120915 ; 9,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001528628 ; 3450601013652 ; 740ML SPRAY VITRES ; AV SPRAY VITRES MENTH.740 ; ARBRE VERT ; NOVAMEX ; 1,17 ; 2,55 ; 2,13 ; 0,2 ; 4,000 ; UVC ; 4,68 ; 10,2 ; 3,82 ; 0,3120915 ; 9,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001002743 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 17,000 ;  ; 10,54 ; 25,33 ; 10,56833 ; 0,3476883 ; 16,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001002743 ; 3560070241293 ; 750ML PISTO.LAV.VI ; 750ML PISTO.LAV.VITR.BL.C ; CRF EXPERT ; MCBRIDE ; 0,62 ; 1,49 ; 1,24 ; 0,2 ; 17,000 ; UVC ; 10,54 ; 25,33 ; 10,56833 ; 0,3476883 ; 16,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000002616675 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,000 ;  ; 0,65 ; 1,79 ; 0,8416666 ; 0,3918374 ; 9,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000002616675 ; 3560070829521 ; 750ML LAVEVITRES E ; 750ML LAVEVITRES ECOLABEL ; CRF ECOPLA ; INCASA (INDUSTRIAS) ; 0,65 ; 1,79 ; 1,49 ; 0,2 ; 1,000 ; UVC ; 0,65 ; 1,79 ; 0,8416666 ; 0,3918374 ; 9,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000000060897 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 2,000 ;  ; 1,1 ; 1,98 ; 0,55 ; 0,2314815 ; 13,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000000060897 ; 3560071174675 ; 1L NETTOY.LAVE VIT ; 1L NETTOY.LAVE VITRE SIMP ; SIMPL ; MCBRIDE ; 0,55 ; 0,99 ; 0,83 ; 0,2 ; 2,000 ; UVC ; 1,1 ; 1,98 ; 0,55 ; 0,2314815 ; 13,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001588507 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,000 ;  ; 7,8 ; 21,48 ; 10,1 ; 0,3918374 ; 15,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001588507 ; 3560071429447 ; 750ML LAV VIT PIST ; 750ML LAV VIT PIST CRS CR ; CRF EXPERT ; MCBRIDE ; 0,65 ; 1,79 ; 1,49 ; 0,2 ; 12,000 ; UVC ; 7,8 ; 21,48 ; 10,1 ; 0,3918374 ; 15,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001633586 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 3,05 ; 4,95 ; 1,075 ; 0,1809764 ; 11,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001633586 ; 5410306883262 ; 1L LAVE VITRES NN ; 1L LAVE VITRES NN ; NO NAME ; MCBRIDE ; 0,61 ; 0,99 ; 0,83 ; 0,2 ; 5,000 ; UVC ; 3,05 ; 4,95 ; 1,075 ; 0,1809764 ; 11,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001536439 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 6,000 ;  ; 13,32 ; 14,94 ; -0,87 ; -0,04852744 ; 8,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001536439 ; 8718951340442 ; AJAX VITRE ECORESP ; AJAX VITRE ECORESP NEUTR ; AJAX ; COLGATE PALMOLIVE ; 2,22 ; 2,49 ; 2,08 ; 0,2 ; 6,000 ; UVC ; 13,32 ; 14,94 ; -0,87 ; -0,04852744 ; 8,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001002736 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 10,000 ;  ; 25 ; 25,9 ; -3,416667 ; -0,1099314 ; 22,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 002 ; 0000001002736 ; 8718951546615 ; AJAX SPRAY VITRES ; AJAX SPRAY VITRES 750ML ; AJAX ; COLGATE PALMOLIVE ; 2,5 ; 2,59 ; 2,16 ; 0,2 ; 10,000 ; UVC ; 25 ; 25,9 ; -3,416667 ; -0,1099314 ; 22,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 003 ; 0000000070398 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 2,25 ; 5,95 ; 2,708333 ; 0,3793184 ; 35,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 003 ; 0000000070398 ; 3560070241385 ; 750ML RECH.LAV.VIT ; 750ML RECH.LAV.VIT.BLEU C ; CRF EXPERT ; MCBRIDE ; 0,45 ; 1,19 ; 0,99 ; 0,2 ; 5,000 ; UVC ; 2,25 ; 5,95 ; 2,708333 ; 0,3793184 ; 35,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 003 ; 0000000060646 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 8,2 ; 8,25 ; -1,325 ; -0,1338384 ; 3,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 000 ; NETTOYANTS VITRES ; 003 ; 0000000060646 ; 8718951546653 ; AJAX SPRAY RECH VI ; AJAX SPRAY RECH VITRES 75 ; AJAX ; COLGATE PALMOLIVE ; 1,64 ; 1,65 ; 1,38 ; 0,2 ; 5,000 ; UVC ; 8,2 ; 8,25 ; -1,325 ; -0,1338384 ; 3,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 001 ; LINGETTES VITRES ;  ; 2 ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 2,17 ; 4,35 ; 1,455 ; 0,222961 ; 37,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 001 ; LINGETTES VITRES ; 001 ; 0000004033425 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,000 ;  ; 0,53 ; 0,79 ; 0,1283333 ; 0,1353727 ; 20,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 001 ; LINGETTES VITRES ; 001 ; 0000004033425 ; 3500590021210 ; JAG LINGETTES SPEC ; JAG LINGETTES SPECIALE VI ; JAG ; JAG DIFFUSION ; 0,53 ; 0,79 ; 0,66 ; 0,2 ; 1,000 ; UVC ; 0,53 ; 0,79 ; 0,1283333 ; 0,1353727 ; 20,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 001 ; LINGETTES VITRES ; 001 ; 0000001017110 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 4,000 ;  ; 1,64 ; 3,56 ; 1,326667 ; 0,3105493 ; 17,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1100 ; VITRES ; 001 ; LINGETTES VITRES ; 001 ; 0000001017110 ; 3560071237264 ; 20 LINGETTES VITRE ; 20 LINGETTES VITRES CRF E ; CRF EXPERT ; OPTIMAL CARE ; 0,41 ; 0,89 ; 0,74 ; 0,2 ; 4,000 ; UVC ; 1,64 ; 3,56 ; 1,326667 ; 0,3105493 ; 17,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ;  ;  ;  ; 9 ; 9 ;  ;  ;  ;  ;  ;  ;  ;  ; 38,000 ;  ; 82,51 ; 129,16 ; 25,12333 ; 0,1858259 ; 130,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 000 ; ENTRETIEN FOUR ET MICRO-ONDES ;  ; 2 ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ; 14,000 ;  ; 24,92 ; 47,26 ; 14,46333 ; 0,1962145 ; 34,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 000 ; ENTRETIEN FOUR ET MICRO-ONDES ; 001 ; 0000004106544 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 18,56 ; 38,32 ; 13,37333 ; 0,2908258 ; 18,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 000 ; ENTRETIEN FOUR ET MICRO-ONDES ; 001 ; 0000004106544 ; 3449120004807 ; PRO FOUR NETTOYANT ; PRO FOUR NETTOYANT 500ML ; PROFOUR ; FULGATOR ; 2,32 ; 4,79 ; 3,99 ; 0,2 ; 8,000 ; UVC ; 18,56 ; 38,32 ; 13,37333 ; 0,2908258 ; 18,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 000 ; ENTRETIEN FOUR ET MICRO-ONDES ; 001 ; 0000004205043 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 6,000 ;  ; 6,36 ; 8,94 ; 1,09 ; 0,1016033 ; 16,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 000 ; ENTRETIEN FOUR ET MICRO-ONDES ; 001 ; 0000004205043 ; 3560071481377 ; DECAP FOUR SIMPL ; 500ML DECAPANT FOUR SIMPL ; SIMPL ; MCBRIDE ; 1,06 ; 1,49 ; 1,24 ; 0,2 ; 6,000 ; UVC ; 6,36 ; 8,94 ; 1,09 ; 0,1016033 ; 16,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 001 ; ENTRETIEN METAUX ;  ; 2 ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 14,65 ; 19,95 ; 1,975 ; 0,08249791 ; 30,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 001 ; ENTRETIEN METAUX ; 001 ; 0000004274000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 2,000 ;  ; 5,86 ; 7,98 ; 0,79 ; 0,08249791 ; 14,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 001 ; ENTRETIEN METAUX ; 001 ; 0000004274000 ; 3760360760378 ; MIROR CUIVRE FR FL ; MIROR CUIVRE FR FLACON 25 ; MIROR ; HERITAGE ; 2,93 ; 3,99 ; 3,33 ; 0,2 ; 2,000 ; UVC ; 5,86 ; 7,98 ; 0,79 ; 0,08249791 ; 14,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 001 ; ENTRETIEN METAUX ; 002 ; 0000004176654 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 3,000 ;  ; 8,79 ; 11,97 ; 1,185 ; 0,08249791 ; 16,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 001 ; ENTRETIEN METAUX ; 002 ; 0000004176654 ; 3760360760361 ; MIROR ARGENTIL FR ; MIROR ARGENTIL FR FLACON ; MIROR ; HERITAGE ; 2,93 ; 3,99 ; 3,33 ; 0,2 ; 3,000 ; UVC ; 8,79 ; 11,97 ; 1,185 ; 0,08249791 ; 16,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ;  ; 5 ; 5 ;  ;  ;  ;  ;  ;  ;  ;  ; 19,000 ;  ; 42,94 ; 61,95 ; 8,684999 ; 0,2230016 ; 66,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000001131337 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 24,56 ; 27,12 ; -1,96 ; -0,06022615 ; 12,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000001131337 ; 3059942101204 ; VITROCLEN 250ML ; VITROCLEN PISTOLET 250ML ; VITROCLEN ; RB HYGIENE HOME FR ; 3,07 ; 3,39 ; 2,83 ; 0,2 ; 8,000 ; UVC ; 24,56 ; 27,12 ; -1,96 ; -0,06022615 ; 12,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000000071312 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 11,4 ; 12,25 ; -1,191667 ; -0,08106576 ; 25,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000000071312 ; 3107930040100 ; 200ML NETT VITROCL ; VITROCLEN NET.VITRO 200ML ; VITROCLEN ; RB HYGIENE HOME FR ; 2,28 ; 2,45 ; 2,04 ; 0,2 ; 5,000 ; UVC ; 11,4 ; 12,25 ; -1,191667 ; -0,08106576 ; 25,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000002616678 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 4,000 ;  ; 4,32 ; 15,4 ; 8,513333 ; 0,4606782 ; 12,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000002616678 ; 3560071155681 ; 500ML SPRAY VITROC ; 500ML SPRAY VITROCERAMIQ. ; CRF-CDM ; MEDITERRANEA PRODUCT ; 1,08 ; 3,85 ; 3,21 ; 0,2 ; 4,000 ; UVC ; 4,32 ; 15,4 ; 8,513333 ; 0,4606782 ; 12,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000001481229 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,000 ;  ; 0,72 ; 3,19 ; 1,938333 ; 0,5063567 ; 14,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000001481229 ; 3560071155711 ; 300ML CREME VITROC ; 300ML CREME VITROCERAMIQ. ; CRF-CDM ; MEDITERRANEA PRODUCT ; 0,72 ; 3,19 ; 2,66 ; 0,2 ; 1,000 ; UVC ; 0,72 ; 3,19 ; 1,938333 ; 0,5063567 ; 14,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000001199566 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,000 ;  ; 1,94 ; 3,99 ; 1,385 ; 0,2892648 ; 3,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1101 ; FOURS ET METAUX ; 002 ; DETARTRANT MENAGER-NETTOYANT ; 002 ; 0000001199566 ; 4042698006762 ; KIT EPONGE ET RACL ; KIT EPONGE ET RACLETTE PO ; DELU ; MINKY FRANCE SAS ; 1,94 ; 3,99 ; 3,33 ; 0,2 ; 1,000 ; UVC ; 1,94 ; 3,99 ; 1,385 ; 0,2892648 ; 3,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1102 ; MEUBLES ET SOLS ;  ;  ;  ; 31 ; 31 ;  ;  ;  ;  ;  ;  ;  ;  ; 129,000 ;  ; 305,79 ; 496,1 ; 107,6267 ; 0,1645319 ; 365,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1102 ; MEUBLES ET SOLS ; 000 ; DEPOUS-NETOYANT HUMID MEUBLE ;  ; 5 ; 5 ;  ;  ;  ;  ;  ;  ;  ;  ; 15,000 ;  ; 25,72 ; 33,15 ; 1,905 ; 0,04553837 ; 58,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1102 ; MEUBLES ET SOLS ; 000 ; DEPOUS-NETOYANT HUMID MEUBLE ; 001 ; 0000000070350 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 3,65 ; 5,75 ; 1,141667 ; 0,1654589 ; 12,000 ;  ;  
 01 ; PGC ; 11 ; DROGUERIE ; 110 ; SOINS ET CONFORT DE LA MAISON ; 1102 ; MEUBLES ET SOLS ; 000 ; DEPOUS-NETOYANT HUMID MEUBLE ; 001 ; 0000000070350 ; 3560071163884 ; 300ML DEPOUS.ANTIS ; 300ML DEPOUS.ANTIS.MULT.C ; CRF EXPERT ; I.D.M ; 0,73 ; 1,15 ; 0,96 ; 0,2 ; 5,000 ; UVC ; 3,65 ; 5,75 ; 1,141667 ; 0,1654589 ; 12,000 ;  ;  
